angDist,_RAJ2000,_DEJ2000,GaiaEDR3,RA_ICRS,DE_ICRS,GLON,GLAT,Plx,GMAG,Gmag,BP-RP,E(BP/RP)c,pmRA,pmDE,RUWE,Rpm,f_Plx,f_pm,_RA.icrs,_DE.icrs,_RAJ2000.1,_DEJ2000.1,SDSS,PMF,Teff,e_Teff,logg,e_logg,pMS,pELM,Sloan,SimbadName,_RA,_DE,Type
0.142956,133.618664315951,34.1983770202381,713257286043805696,133.61866431595,34.19837702024,189.54700772958503,39.253863287828985,0.0054814173741821,,17.377834,0.02469635,,-4.550677119478266,-4.794939782100277,0.97175777,11.479040594327529,0,1,133.61866431595,34.19837702024,133.6187083,34.1983611,085428.49+341154.1,1210-52701-0574,11137,125,4.668,0.049,0.47,0.41,Sloan,SDSS J085428.48+341154.1,133.61871,34.19836,Low Mass White Dwarfs
0.084951,4.6847671167757,-9.6486553951839,2428224631979800960,4.68476711678,-9.64865539518,97.5753680493587,-70.89297969128907,0.0195390904620955,,18.7369,-0.15854836,,-1.4511867873832711,-3.8152100486880407,1.0305365,11.7912033199495,0,1,4.68476711678,-9.64865539518,4.68475,-9.6486389,001844.34-093855.1,1913-53321-0352,16641,531,3.941,0.09,0.51,0.31,Sloan,SDSS J001844.34-093855.1,4.68475,-9.64864,Low Mass White Dwarfs
0.262684,4.6847671167757,-9.6486553951839,2428224631979800960,4.68476711678,-9.64865539518,97.5753680493587,-70.89297969128907,0.0195390904620955,,18.7369,-0.15854836,,-1.4511867873832711,-3.8152100486880407,1.0305365,11.7912033199495,0,1,4.68476711678,-9.64865539518,4.6847083,-9.6486111,001844.33-093855.0,0653-52145-0348,18441,914,4.321,0.15,0.52,0.41,Sloan,SDSS J001844.34-093855.1,4.68471,-9.64861,Low Mass White Dwarfs
0.07842,191.6175523702541,-7.2684079388788,3675859515607921664,191.61755237025,-7.26840793888,300.7519810801835,55.58231392692024,0.2769480049957706,3.383494272212225,16.171503,0.1640377,-0.0168538025667461,-15.501139866404596,1.3423930902620045,0.989596,12.13143330220982,1,0,191.61755237025,-7.26840793888,191.6175417,-7.2683889,124628.21-071606.2,2689-54149-0501,8518,9,4.8,0.038,0.56,0.56,Sloan,SDSS J124628.21-071606.2,191.61754,-7.26839,Low Mass White Dwarfs
0.070423,149.6967892726923,60.3631193747967,1050240385727919872,149.69678927269,60.3631193748,151.97890474194824,45.83579492125217,0.1228013619393951,,15.773585,-0.12426758,,-0.154528446604834,-8.249572398513678,1.0132424,10.35612338120698,0,1,149.69678927269,60.3631193748,149.6967917,60.3631389,095847.23+602147.3,0770-52282-0200,13512,175,3.749,0.037,0.53,0.44,Sloan,SDSS J095847.23+602147.3,149.69679,60.36314,Low Mass White Dwarfs
0.162997,5.972060957393,-1.0795687789701,2541958492714409216,5.97206095739,-1.07956877897,107.5507478756036,-63.12564910010564,-0.0174827693743065,,18.365728,-0.061922073,,1.6980137131397626,-1.7533665479501408,1.004316,10.30339673222258,0,1,5.97206095739,-1.07956877897,5.9720417,-1.0795278,002353.29-010446.3,0688-52203-0095,11534,326,3.709,0.097,0.41,0.34,Sloan,SDSS J002353.29-010446.4,5.97204,-1.07953,Low Mass White Dwarfs
0.136865,115.284491692265,22.5067166196726,866974474805293056,115.28449169227,22.50671661967,197.44129233513212,20.576221069055045,-0.1858275800359648,,18.056707,-0.13285446,,0.8849687577407667,-2.7049659919348032,0.9876732,10.327921301850978,0,1,115.28449169227,22.50671661967,115.2844583,22.5066944,074108.27+223024.1,2079-53379-0564,12861,152,3.625,0.034,0.42,0.33,Sloan,SDSS J074108.27+223024.1,115.28446,22.50669,Low Mass White Dwarfs
0.075247,114.8023907890925,22.8865428099701,867233444154245504,114.80239078909,22.88654280997,196.8885892351467,20.304445011304946,0.1838560664335239,,15.665871,-0.22514439,,0.4749499957293848,-7.01116375221878,1.0907185,9.899792177842905,0,1,114.80239078909,22.88654280997,114.802375,22.8865278,073912.57+225311.5,2078-53378-0457,18496,189,4.092,0.031,0.5,0.45,Sloan,SDSS J073912.57+225311.6,114.80237,22.88653,Low Mass White Dwarfs
0.218985,30.4522211115945,5.8985833359786,2519535945930314240,30.45222111159,5.89858333598,152.78588356374863,-52.84553250790155,0.617275975350838,5.677320959354926,16.724924,0.34754372,0.0012951231956588,3.8003575750598926,-10.759702232940302,1.2631967,12.01156761149512,1,0,30.45222111159,5.89858333598,30.4521667,5.8986111,020148.52+055355.0,3116-54792-0217,8375,9,4.887,0.043,0.52,0.48,Sloan,SDSS J020148.53+055355.0,30.45217,5.89861,Low Mass White Dwarfs
0.173681,249.5665486865525,-0.3220477361359,4383289420090467456,249.56654868655,-0.32204773614,15.947698996367013,29.075473291517024,-0.0011114112127107,,18.03436,-0.13090515,,-1.4594109976525058,-7.471331645435397,1.0544052,12.442007125504276,0,1,249.56654868655,-0.32204773614,249.5665417,-0.322,163815.97-001919.2,0348-51671-0074,19110,455,4.64,0.074,0.44,0.4,Sloan,SDSS J163815.97-001919.1,249.56654,-0.322,Low Mass White Dwarfs
0.278243,170.488180398383,60.869517983836,861011995046220544,170.48818039838,60.86951798384,140.8754606130347,53.0296433875741,1.333204916789679,6.65451764480564,16.030033,-0.070863724,-0.0191650746710687,10.39198549467561,-9.781983787922137,0.9771265,11.802407090151483,1,0,170.48818039838,60.86951798384,170.4880417,60.8695556,112157.13+605210.4,3328-54964-0149,11836,31,5.295,0.012,0.45,0.25,Sloan,SDSS J112157.14+605210.4,170.48804,60.86956,Low Mass White Dwarfs
0.21356,341.3189149971574,-0.1224605105463,2653505257317455104,341.31891499716,-0.12246051055,69.40670839778234,-49.41864401087503,0.2656909067880478,2.894928041346468,15.773044,0.00037956238,-0.0084649232307671,3.548474552036456,-4.740412286165736,0.94716716,9.635172957073324,1,0,341.31891499716,-0.12246051055,341.318875,-0.1224167,224516.53-000720.7,0675-52590-0161,11847,65,3.897,0.021,0.53,0.46,Sloan,SDSS J224516.53-000720.7,341.31887,-0.12242,Low Mass White Dwarfs
0.134398,241.389572489385,36.8278419161171,1378395575272278272,241.38957248939,36.82784191612,58.872993107914816,48.16604778732954,0.2207301570733371,2.112731442125135,15.393423,-0.1929102,-0.0071465041476874,-11.641486533646509,4.740677608536916,1.082656,10.890053659597024,1,0,241.38957248939,36.82784191612,241.3895833,36.8278056,160533.50+364940.1,1682-53173-0618,15126,137,3.754,0.027,0.58,0.25,Sloan,SDSS J160533.50+364940.1,241.38958,36.82781,Low Mass White Dwarfs
0.162043,176.9076532287702,47.346905176679,786534685153271040,176.90765322877,47.34690517668,150.44572611558812,66.22848523621904,0.0882986716921306,,16.858713,-0.03728485,,-5.9379038484580615,-4.044506886966547,1.0005661,11.140689475862716,0,1,176.90765322877,47.34690517668,176.9076667,47.3468611,114737.84+472048.7,1446-53080-0314,12151,191,3.656,0.054,0.39,0.38,Sloan,SDSS J114737.84+472048.8,176.90767,47.34686,Low Mass White Dwarfs
