angDist,_RAJ2000,_DEJ2000,GaiaEDR3,RA_ICRS,DE_ICRS,GLON,GLAT,Plx,GMAG,Gmag,BP-RP,E(BP/RP)c,pmRA,pmDE,RUWE,Rpm,f_Plx,f_pm,_RA.icrs,_DE.icrs,_RAJ2000,_DEJ2000,P-M-F,SDSSJ,SNg,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,E(B-V),PM,GLON,GLAT,Type,Sp,_RA,_DE
0.119596,272.9244219919785,24.3173918863449,4578451011737926400,272.92442199198,24.31739188634,51.113323020843,19.129110567404567,0.026811826722422775,,18.666107,-0.12228012,,-1.5227630751750612,-7.311514621799194,0.9616804,13.032246138699161,0,1,272.92442199198,24.31739188634,272.9244583,24.3173889,2195-54234-0611,181141.87+241902.67,20,18.499,0.022,18.509,0.017,18.846,0.05,19.085,0.053,19.256,0.089,0.116,15.2,51.1,19.1,sdB,Sp,272.92446,24.31739
0.099718,65.1636053844294,7.6069830267534,3298924660200067968,65.16360538443,7.60698302675,186.24842336702267,-28.623370181698274,1.1727486358317676,,19.936176,0.115457535,,-4.5044944605945165,-5.885991647092336,0.95002395,14.285806327203495,0,1,65.16360538443,7.60698302675,65.1635833,7.607,2826-54389-0550,042039.26+073625.20,12,20.18,0.018,20.03,0.022,20.03,0.022,20.173,0.032,20.332,0.101,0.212,3.8,186.2,-28.6,DA,Sp,65.16358,7.607
0.136943,272.8617756074468,23.5704371364494,4578338792830004736,272.86177560745,23.57043713645,50.358114168758696,18.902328403631564,0.18849813410262614,,18.368362,-0.19860458,,1.1333437794894057,-10.82851508969312,0.96639,13.553035753929432,0,1,272.86177560745,23.57043713645,272.8617917,23.5704722,2195-54234-0038,181126.83+233413.71,25,18.097,0.026,18.173,0.198,18.543,0.346,18.799,0.628,19.048,0.053,0.115,13.7,50.4,18.9,sdB,Sp,272.86179,23.57047
0.915788,215.4563645204412,12.5362145137708,1226007210736677248,215.45636452044,12.53621451377,2.7936044889477736,64.29639078238712,0.34552791798188187,,18.64325,-0.43089485,,-8.390902390875839,-1.261658712696459,1.022329,13.286566011254912,0,1,215.45636452044,12.53621451377,215.456625,12.5362222,5458-56011-0066,142149.59+123210.47,19,18.151,0.031,18.378,0.022,18.87,0.02,19.221,0.022,19.634,0.068,0.018,90.0,2.8,64.3,sdB,Sp,215.45662,12.53622
0.033670,240.0620502445098,26.129199750092,1220120288042730880,240.06205024451,26.12919975009,42.73355814157455,48.04621637872329,0.8770625906637362,,19.265854,-0.20770073,,4.708733794933345,-7.000415438815468,0.9845865,13.896718106650308,0,1,240.06205024451,26.12919975009,240.0620417,26.1291944,3940-55327-0830,160014.89+260745.16,12,19.079,0.02,19.455,0.019,19.455,0.019,19.685,0.032,19.943,0.111,0.047,10.0,42.7,48.0,DA,Sp,240.06204,26.12919
0.232429,236.6471819707599,23.0851547743769,1217872817555622272,236.64718197076,23.08515477438,37.07792816300397,50.338830119356736,0.2666453887317305,,17.549433,-0.27567482,,-10.90762516945068,-1.814823936582556,1.053386,12.76773133111999,0,1,236.64718197076,23.08515477438,236.64725,23.0851389,2169-53556-0421,154635.34+230506.59,26,17.402,0.017,17.372,0.015,17.737,0.012,18.016,0.017,18.299,0.027,0.044,13.3,37.1,50.3,sdB,Sp,236.64725,23.08514
0.035685,239.6357853736646,26.3145914303574,1220180250083042816,239.63578537366,26.31459143036,42.88423960292986,48.45917126190157,1.0113426472976046,,20.008663,-0.017595291,,-3.5103545959232663,-5.2208241025615045,0.94721055,14.002341554733466,0,1,239.63578537366,26.31459143036,239.6357917,26.3145833,2474-54564-0065,155832.59+261852.56,10,19.507,0.024,20.223,0.028,20.223,0.028,20.567,0.054,20.734,0.228,0.051,3.4,42.9,48.5,DA,Sp,239.63579,26.31458
0.130741,217.3132009639214,14.2789296917725,1228102776819665024,217.31320096392,14.27892969177,8.440860164585075,63.842956716695944,0.5419052054785382,,19.45686,-0.33163643,,9.40446386421925,-3.8949559945421908,0.98573494,14.495412197446491,0,1,217.31320096392,14.27892969177,217.3131667,14.2789444,5466-56033-0455,142915.16+141644.22,10,19.121,0.03,19.614,0.021,19.614,0.021,19.907,0.024,20.156,0.096,0.023,10.1,8.4,63.8,DA,Sp,217.31317,14.27894
0.090272,148.5806083621819,3.8315851637341,3848722775221330944,148.58060836218,3.83158516373,233.85038807565314,41.77703047146013,1.7480263348723515,,19.336115,-0.28926277,,5.0442789631701,-1.4753977338374102,1.0245368,12.939234864836767,0,1,148.58060836218,3.83158516373,148.5805833,3.8315833,4799-55656-0216,095419.34+034953.76,16,19.306,0.02,19.472,0.018,19.472,0.018,19.817,0.023,19.864,0.083,0.032,4.5,233.9,41.8,DA,Sp,148.58058,3.83158
0.046409,166.4432092069079,10.2607906603806,3868080944443723136,166.44320920691,10.26079066038,241.9966033130999,59.944081381065736,0.45918833880293625,,18.42552,-0.21529579,,-5.681445499651767,-8.032027774320454,1.0146123,13.390121879264488,0,1,166.44320920691,10.26079066038,166.4432083,10.2607778,5361-55973-0780,110546.37+101538.84,29,17.979,0.018,18.314,0.018,18.677,0.022,18.817,0.022,18.997,0.052,0.024,16.4,242.0,59.9,sdOB,Sp,166.44321,10.26078
0.210358,161.56139965103,4.9232223746459,3858324015697390208,161.56139965103,4.92322237465,243.9986183968798,52.82568200691174,0.7973759535663545,,19.078388,-0.48794365,,-17.26618451794318,-3.0075912395597095,0.9661926,15.29682364064259,0,1,161.56139965103,4.92322237465,161.5614583,4.9232222,4773-55648-0988,104614.75+045523.64,20,18.344,0.018,18.805,0.022,19.334,0.02,19.715,0.024,19.971,0.09,0.022,19.5,244.0,52.8,DA,Sp,161.56146,4.92322
0.076089,155.8361253398126,7.9928267330862,3863485849128162560,155.83612533981,7.99282673309,234.58804878030645,50.09053070138709,0.15125002592733172,,16.899559,-0.24598885,,-3.0720032623918505,-7.485608497340218,1.059759,11.439690468680073,0,1,155.83612533981,7.99282673309,155.836125,7.9928056,5339-55922-0178,102320.67+075934.10,86,16.866,0.014,16.7,0.02,17.137,0.025,17.383,0.021,17.655,0.025,0.023,124.3,234.6,50.1,sdA,Sp,155.83612,7.99281
0.251550,146.6564307978539,7.0786795952613,3853751456075688832,146.65643079785,7.07867959526,228.7923865570582,41.87147490534277,2.1343284223400554,,19.517223,-0.3062458,,-16.895547376136676,-6.476531202562465,1.0013125,15.804936557976184,0,1,146.65643079785,7.07867959526,146.6565,7.0786667,1234-52724-0080,094637.56+070443.28,7,19.465,0.033,19.341,0.016,19.683,0.021,19.966,0.031,20.195,0.119,0.02,19.0,228.8,41.9,DA,Sp,146.6565,7.07867
0.144427,161.9128806994611,9.7400465232358,3869398301107963008,161.91288069946,9.74004652324,237.79547766546386,56.04080151214997,0.0519265088805122,,16.975632,-0.42938614,,-15.165503003819548,-12.713111075427367,0.97466487,13.457781883390183,0,1,161.91288069946,9.74004652324,161.9129167,9.7400278,5351-55952-0218,104739.10+094424.17,42,16.331,0.009,16.726,0.017,17.23,0.024,17.577,0.017,17.894,0.025,0.022,18.8,237.8,56.0,He-sdO,Sp,161.91292,9.74003
